"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20707","TestCase 16 - Добавьте больше материалов, чем ограниченное количество в спецификацию и проверка сохранения (Exceed Allowed Materials)","U004","Tue Apr 29 11:53:19 GMT 2025","failed","Tue Apr 29 11:53:40 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","20576","TestCase 18 - Добавить, изменить и удалить несколько элементов одновременно в спецификацию и проверка сохранения (Add, Modify, and Delete in One Session)","U004","Tue Apr 29 11:54:01 GMT 2025","failed","Tue Apr 29 11:54:22 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","19837","TestCase 14 - Сохранить без добавления каких-либо элементов в спецификацию и проверка сохранения (Save Without Adding Material)","U004","Tue Apr 29 11:52:36 GMT 2025","failed","Tue Apr 29 11:52:56 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","21000","TestCase 06 - Очистка после теста. (Cleanup after test)","U004","Tue Apr 29 11:49:54 GMT 2025","failed","Tue Apr 29 11:50:15 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","20192","TestCase 19 - cleanup (Return to original state)","U004","Tue Apr 29 11:54:23 GMT 2025","failed","Tue Apr 29 11:54:43 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","21683","TestCase 02 - Очистка после теста. (Cleanup after test)","U004","Tue Apr 29 11:48:25 GMT 2025","failed","Tue Apr 29 11:48:46 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","21261","TestCase 15 - Перезагрузить без сохранения после добавления деталей в спецификацию и проверка (Reload without saving)","U004","Tue Apr 29 11:52:57 GMT 2025","failed","Tue Apr 29 11:53:18 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","23208","TestCase 11 - Delete a Material Before Saving","U004","Tue Apr 29 11:51:44 GMT 2025","failed","Tue Apr 29 11:52:07 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","1","TestCase 20 - Совместные изменения (Collaborative Changes)","U004","Tue Apr 29 11:54:43 GMT 2025","skipped","Tue Apr 29 11:54:43 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","21649","TestCase 05 - Adding All Material Types at Once","U004","Tue Apr 29 11:49:31 GMT 2025","failed","Tue Apr 29 11:49:53 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","20768","TestCase 10 - cleanup (Return to original state)","U004","Tue Apr 29 11:51:22 GMT 2025","failed","Tue Apr 29 11:51:43 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","20119","TestCase 08 - cleanup (Return to original state)","U004","Tue Apr 29 11:50:39 GMT 2025","failed","Tue Apr 29 11:51:00 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","21206","TestCase 03 - Редактирование изделия - Добавьте каждый тип материала по отдельности. (Add Each Material Type Individually)","U004","Tue Apr 29 11:48:47 GMT 2025","failed","Tue Apr 29 11:49:09 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","20557","TestCase 09- Редактирование изделия - Сравниваем комплектацию (Edit an Existing Material ПД - Comparing the complete set)","U004","Tue Apr 29 11:51:00 GMT 2025","failed","Tue Apr 29 11:51:21 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","20697","TestCase 12 - Удалить сохраненный материал (Remove Saved Material)","U004","Tue Apr 29 11:52:08 GMT 2025","failed","Tue Apr 29 11:52:29 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","6255","TestCase 13 - Добавить одинаковый СБ в спецификацию ДВА раза и проверка сохранения или нет (Add Duplicate Material Type)","U004","Tue Apr 29 11:52:30 GMT 2025","passed","Tue Apr 29 11:52:36 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","19941","TestCase 17 - cleanup delete all added details (cleanup delete all added details)","U004","Tue Apr 29 11:53:41 GMT 2025","failed","Tue Apr 29 11:54:00 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","20925","TestCase 04 - Очистка после теста. (Cleanup after test)","U004","Tue Apr 29 11:49:10 GMT 2025","failed","Tue Apr 29 11:49:30 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","22474","TestCase 07 - Редактирование изделия - Сравниваем комплектацию (Edit an Existing Детайл - Comparing the complete set)","U004","Tue Apr 29 11:50:16 GMT 2025","failed","Tue Apr 29 11:50:38 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
"","19700","TestCase 01 - Редактирование изделия - добавление потомка (СБ) (Editing a product - adding a descendant (СБ))","U004","Tue Apr 29 11:48:04 GMT 2025","failed","Tue Apr 29 11:48:24 GMT 2025","Test Suite: U004 - verify changes to full specifications after adding items to the product","main.spec.ts","",""
