2025-03-03 03:58:51 [error]: Found multiple elements with data-testid="AssemblySclad-PrintTableBody-ShipmentsCell"
2025-03-03 03:58:54 [error]: Found multiple elements with data-testid="ModalShipmentsToIzed-tbody-tr-buyers"
2025-03-03 03:58:57 [error]: No elements found with partial data-testid="complect"
2025-03-03 03:59:00 [error]: No elements found with partial data-testid="ModalKomplect-komplect-table-body-row"
2025-03-03 03:59:00 [error]: No element found with id="ModalKomplect-komplect-table-body-row"
2025-03-03 03:59:00 [error]: Table 1 is missing <thead>.
2025-03-03 03:59:00 [warn]: Duplicate data-testid "ShipmentsListTable-orderRow" found in Table 1
2025-03-03 03:59:00 [warn]: Duplicate data-testid "ShipmentsListTable-stockOrderRow" found in Table 1
2025-03-03 03:59:04 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-buyers" found in Table 3
2025-03-03 03:59:04 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-sclad" found in Table 4
2025-03-03 03:59:04 [warn]: Duplicate data-testid "TableKomplect-row" found in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <th> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:04 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <th> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <th> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <th> is missing data-testid in Table 5
2025-03-03 03:59:05 [warn]: Cell <td> is missing data-testid in Table 5
