2025-03-03 05:29:56 [error]: Found multiple elements with data-testid="DeficitIzd-TableCell-DatePlan"
2025-03-03 05:29:59 [error]: Found multiple elements with data-testid="ModalShipmentsToIzed-tbody-tr-buyers"
2025-03-03 05:30:02 [error]: No elements found with partial data-testid="complect"
2025-03-03 05:30:05 [error]: No elements found with partial data-testid="ModalKomplect-komplect-table-body-row"
2025-03-03 05:30:05 [error]: No element found with id="ModalKomplect-komplect-table-body-row"
2025-03-03 05:30:05 [error]: Table 1 is missing <thead>.
2025-03-03 05:30:05 [warn]: Duplicate data-testid "ShipmentsListTable-orderRow" found in Table 1
2025-03-03 05:30:05 [warn]: Duplicate data-testid "ShipmentsListTable-stockOrderRow" found in Table 1
2025-03-03 05:30:10 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-buyers" found in Table 3
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <th> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
2025-03-03 05:30:10 [warn]: Cell <td> is missing data-testid in Table 4
