2025-03-06 03:59:42 [error]: Found multiple elements with data-testid="DeficitIzd-TableCell-DatePlan"
2025-03-06 03:59:45 [error]: Found multiple elements with data-testid="ModalShipmentsToIzed-tbody-tr-buyers"
2025-03-06 03:59:48 [error]: No elements found with partial data-testid="complect"
2025-03-06 03:59:51 [error]: No elements found with partial data-testid="ModalKomplect-komplect-table-body-row"
2025-03-06 03:59:51 [error]: No element found with id="ModalKomplect-komplect-table-body-row"
2025-03-06 03:59:51 [error]: Table 1 is missing <thead>.
2025-03-06 03:59:52 [warn]: Duplicate data-testid "ShipmentsListTable-orderRow" found in Table 1
2025-03-06 03:59:52 [warn]: Duplicate data-testid "ShipmentsListTable-stockOrderRow" found in Table 1
2025-03-06 03:59:57 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-buyers" found in Table 3
2025-03-06 03:59:57 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-sclad" found in Table 4
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <th> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 03:59:57 [warn]: Cell <td> is missing data-testid in Table 5
