2025-03-06 04:07:39 [error]: Found multiple elements with data-testid="DeficitIzd-TableCell-DatePlan"
2025-03-06 04:07:42 [error]: Found multiple elements with data-testid="ModalShipmentsToIzed-tbody-tr-buyers"
2025-03-06 04:07:45 [error]: No elements found with partial data-testid="complect"
2025-03-06 04:07:48 [error]: No elements found with partial data-testid="ModalKomplect-komplect-table-body-row"
2025-03-06 04:07:48 [error]: No element found with id="ModalKomplect-komplect-table-body-row"
2025-03-06 04:07:49 [error]: Table 1 is missing <thead>.
2025-03-06 04:07:49 [warn]: Duplicate data-testid "ShipmentsListTable-orderRow" found in Table 1
2025-03-06 04:07:49 [warn]: Duplicate data-testid "ShipmentsListTable-stockOrderRow" found in Table 1
2025-03-06 04:07:54 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-buyers" found in Table 3
2025-03-06 04:07:54 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-sclad" found in Table 4
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <th> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:07:54 [warn]: Cell <td> is missing data-testid in Table 5
