2025-03-06 04:34:24 [error]: Found multiple elements with data-testid="DeficitIzd-TableCell-DatePlan"
2025-03-06 04:34:27 [error]: Found multiple elements with data-testid="ModalShipmentsToIzed-tbody-tr-buyers"
2025-03-06 04:34:30 [error]: No elements found with partial data-testid="complect"
2025-03-06 04:34:33 [error]: No elements found with partial data-testid="ModalKomplect-komplect-table-body-row"
2025-03-06 04:34:33 [error]: No element found with id="ModalKomplect-komplect-table-body-row"
2025-03-06 04:34:33 [error]: Table 1 is missing <thead>.
2025-03-06 04:34:33 [warn]: Duplicate data-testid "ShipmentsListTable-orderRow" found in Table 1
2025-03-06 04:34:33 [warn]: Duplicate data-testid "ShipmentsListTable-stockOrderRow" found in Table 1
2025-03-06 04:34:38 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-buyers" found in Table 3
2025-03-06 04:34:38 [warn]: Duplicate data-testid "ModalShipmentsToIzed-tbody-tr-sclad" found in Table 4
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <th> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
2025-03-06 04:34:39 [warn]: Cell <td> is missing data-testid in Table 5
